1,192.168.1.1,2023-04-15 09:23:45,1001,Electronics
2,10.0.0.2,2023-04-16 11:18:22,2001,Clothing
1,192.168.1.1,2023-04-16 14:35:19,3001,Food
3,172.16.0.1,2023-04-17 08:12:34,4001,Furniture
2,10.0.0.2,2023-04-17 13:45:56,2002,Clothing
4,192.168.2.2,2023-04-18 10:30:15,5001,Books
1,192.168.1.1,2023-04-18 16:22:41,1002,Electronics
2,10.0.0.2,2023-04-19 09:15:27,3002,Food
5,172.16.0.2,2023-04-19 14:08:19,6001,Toys
3,172.16.0.1,2023-04-20 11:35:42,4002,Furniture
4,192.168.2.2,2023-04-20 17:20:08,5002,Books
1,192.168.1.1,2023-04-21 08:45:32,1003,Electronics
6,10.0.0.3,2023-04-21 13:12:22,7001,Cosmetics
2,10.0.0.2,2023-04-21 19:36:47,2003,Clothing
3,172.16.0.1,2023-04-22 07:25:15,4003,Furniture
5,172.16.0.2,2023-04-22 14:45:38,6002,Toys
4,192.168.2.2,2023-04-23 10:18:29,5003,Books
7,192.168.3.3,2023-04-23 15:35:17,8001,Sports
1,192.168.1.1,2023-04-24 09:45:06,3003,Food
6,10.0.0.3,2023-04-24 16:22:41,7002,Cosmetics
8,192.168.4.4,2023-04-25 11:15:22,9001,Appliances
9,10.0.0.4,2023-04-25 18:35:47,10001,Jewelry
1,192.168.1.1,2023-04-26 08:20:15,1004,Electronics
2,10.0.0.2,2023-04-26 13:40:38,2004,Clothing
10,172.16.0.3,2023-04-27 10:25:19,11001,Tools
3,172.16.0.1,2023-04-27 16:15:42,4004,Furniture
4,192.168.2.2,2023-04-28 09:35:27,5004,Books
11,172.16.0.4,2023-04-28 14:45:16,12001,Gardening
5,172.16.0.2,2023-04-29 11:20:42,6003,Toys
1,192.168.1.1,2023-04-29 17:10:05,3004,Food
6,10.0.0.3,2023-04-30 08:45:32,7003,Cosmetics
12,192.168.5.5,2023-04-30 15:15:22,13001,PetSupplies
2,10.0.0.2,2023-05-01 10:25:47,2005,Clothing
3,172.16.0.1,2023-05-01 18:40:15,4005,Furniture
13,10.0.0.5,2023-05-02 12:15:38,14001,AutoAccessories
4,192.168.2.2,2023-05-02 16:30:22,5005,Books
7,192.168.3.3,2023-05-03 09:10:05,8002,Sports
14,172.16.0.5,2023-05-03 14:25:19,15001,HomeFurnishing
5,172.16.0.2,2023-05-04 11:45:42,6004,Toys
1,192.168.1.1,2023-05-04 18:20:27,1005,Electronics
